prefix,n_spins,JZ,h,meanEnergy,stdEnergy,meanEnergyVariance,stdEnergyVariance,exact
ising,6,1,17.282051282051285,-103.33068635634427,0.005290531405590083,0.03056671928495213,0.0012229297794389608,-105.08638495462421
ising,6,1,24.923076923076927,-149.23227042047648,0.003373997804385678,0.013319651815372271,0.0009322670093697557,-150.50308860737326
ising,6,1,32.56410256410257,-195.1611926337537,0.0032439947091257803,0.0100644631482077,0.0005492592650051742,-196.12234827397427
ising,6,1,40.20512820512821,-241.03474834484783,0.002466284576581657,0.006847782340231975,0.0003962977054789001,-241.8280877708421
ising,6,1,47.846153846153854,-286.92935280429003,0.002441116040191929,0.006546223597405485,0.00030585576010680677,-287.57875430079537
ising,6,1,55.48717948717949,-332.79545069030064,0.00188556677811702,0.004336823051246573,0.0001693702791640653,-333.3557518520709
ising,6,1,63.12820512820514,-378.644160222392,0.0016048619420556385,0.003534714732230321,0.00017495454536210956,-379.14950598380057
ising,6,1,70.76923076923076,-424.5069909410839,0.0014841058794141512,0.0033277266442687864,0.00016020255542368095,-424.9545833853514
ising,6,1,78.41025641025641,-470.3714008539712,0.001456204334367652,0.003041458119136047,0.00012217614782397042,-470.7676710248275
ising,6,1,86.05128205128206,-516.2144544726434,0.0014762916554230039,0.003433497947165444,0.00011264895398390425,-516.5866336631088
ising,6,1,93.69230769230771,-562.0922271373515,0.0011794177279908227,0.0021625697890720955,0.00010117475918663618,-562.4100331230866
ising,6,1,101.33333333333334,-607.9306375803168,0.0013258285917948874,0.002773592553976501,0.00011466347339126904,-608.2368652735761
ising,6,1,108.97435897435898,-653.7780202443496,0.0011345667410325047,0.0022407846707424963,9.239531366743492e-05,-654.0664077575633
ising,6,1,116.61538461538464,-699.6354424568398,0.0011413499891996185,0.0023374019403984004,0.0001164388129961158,-699.8981276264669
ising,6,1,124.25641025641028,-745.4823468365444,0.0011835822259853484,0.002238344597482489,9.320168847542324e-05,-745.7316230745014
ising,6,1,131.8974358974359,-791.3352758859284,0.00107954622851318,0.002323483982613762,9.788617054195444e-05,-791.5665854360899
ising,6,1,139.53846153846158,-837.1727267114898,0.001122138586814648,0.002368591733788217,9.62247148553053e-05,-837.4027736749135
ising,6,1,147.17948717948718,-883.0169351203548,0.001118186637484962,0.0022018823165827124,9.137072398043218e-05,-883.2399968228117
ising,6,1,154.82051282051282,-928.871510099522,0.0010868795613364422,0.002162573057401129,8.238196117599869e-05,-929.07810162077
ising,6,1,162.46153846153848,-974.7177512783113,0.00107812392362127,0.0021994278501599822,9.286181309907988e-05,-974.9169636487607
ising,6,1,170.10256410256412,-1020.5652368772172,0.0010628776077029136,0.0024423283384696487,0.00011313881150812292,-1020.7564808468989
